# host\tserver\talias\toptional_flag
10.243.9.14	a70lppalm2ex001	pex1
10.243.9.15	a70lppalm2ex002	pex2
10.243.9.16	a70lppalm2ex003	pex3
10.243.25.15	a70lppalm2in001	pin1
10.243.25.16	a70lppalm2in002	pin2
10.243.25.19	a70lppalm2tr001	ediptr1
10.243.25.20	a70lppalm2tr002	ediptr2
10.243.25.21	a70lppalm2tr003	ediptr3
10.243.25.22	a70lppalm2tr004	ediptr4
10.243.25.23	a70lppalm2tr005	ediptr5
10.243.25.24	a70lppalm2tr006	ediptr6
10.243.41.11	a70lppalm2or001	por1
10.243.41.14	a70lppalm2or002	por2
10.243.9.11	a70lqpalm2ex001	qex1
10.243.9.12	a70lqpalm2ex002	qex2
10.243.9.13	a70lqpalm2ex003	qex3
10.243.25.13	a70lqpalm2in001	qin1
10.243.25.14	a70lqpalm2in002	qin2
10.243.25.17	a70lqpalm2tr001	ediqtr1
10.243.25.18	a70lqpalm2tr002	ediqtr2
10.243.41.12	a70lqpalm2or001	qor1
10.243.209.11	a70lspalm2ex001	sex1
10.243.225.11	a70lspalm2in001	sin1
10.243.225.13	a70lspalm2tr001	edistr1
10.243.241.11	a70lspalm2or001	sor1
